Invoice Number,Invoice Date,Total Amount,Provider,Location
INV-000849,2025-05-27,2043.11,Eye Care BigTown,Smallville
INV-000850,2025-03-05,1159.44,EyeCare Smallville,BigTown
INV-000851,2025-03-04,4212.49,Eye Care BigTown,BigTown
INV-000852,2025-04-17,2293.4,EyeCare Smallville,BigTown
INV-000853,2025-08-20,4020.68,Eye Care BigTown,BigTown
INV-000854,2025-05-02,3294.5,EyeCare Smallville,Smallville
INV-000855,2025-07-01,526.92,Eye Care BigTown,BigTown
INV-000856,2025-06-29,1835.82,Eye Care BigTown,Smallville
INV-000857,2025-01-21,2890.41,EyeCare Smallville,Smallville
INV-000858,2025-06-27,3082.9,Eye Care BigTown,Smallville
INV-000859,2025-07-12,2660.1,EyeCare Smallville,Smallville
INV-000860,2025-08-20,1433.63,EyeCare Smallville,Smallville
INV-000861,2025-03-22,4237.68,Eye Care BigTown,Smallville
INV-000862,2025-02-25,2979.82,Eye Care BigTown,BigTown
INV-000863,2025-06-28,3908.85,Eye Care BigTown,BigTown
INV-000864,2025-06-26,1263.46,Eye Care BigTown,Smallville
INV-000865,2025-03-27,2934.72,EyeCare Smallville,BigTown
INV-000866,2025-01-03,3310.15,EyeCare Smallville,BigTown
INV-000867,2025-04-16,585.77,Eye Care BigTown,Smallville
INV-000868,2025-05-16,3807.34,Eye Care BigTown,Smallville
INV-000869,2025-07-08,822.3,Eye Care BigTown,Smallville
INV-000870,2025-05-28,2561.37,EyeCare Smallville,Smallville
INV-000871,2025-01-21,1596.69,EyeCare Smallville,Smallville
INV-000872,2025-05-21,1986.75,Eye Care BigTown,BigTown
INV-000873,2025-02-28,2989.08,Eye Care BigTown,BigTown
INV-000874,2025-08-13,2561.82,Eye Care BigTown,Smallville
INV-000875,2025-02-19,1783.27,EyeCare Smallville,Smallville
INV-000876,2025-03-18,1260.08,Eye Care BigTown,Smallville
INV-000877,2025-05-28,2694.04,EyeCare Smallville,Smallville
INV-000878,2025-05-27,4049.6,EyeCare Smallville,Smallville
INV-000879,2025-02-21,4683.24,EyeCare Smallville,BigTown
INV-000880,2025-06-02,1732.55,Eye Care BigTown,BigTown
INV-000881,2025-07-12,517.03,Eye Care BigTown,Smallville
INV-000882,2025-07-03,1435.12,Eye Care BigTown,BigTown
INV-000883,2025-07-15,1573.96,Eye Care BigTown,BigTown
INV-000884,2025-02-06,1827.55,Eye Care BigTown,Smallville
INV-000885,2025-02-02,3403.31,Eye Care BigTown,BigTown
INV-000886,2025-05-16,726.23,Eye Care BigTown,BigTown
INV-000887,2025-08-27,3718.82,EyeCare Smallville,BigTown
INV-000888,2025-03-04,4733.86,EyeCare Smallville,BigTown
INV-000889,2025-06-23,3055.27,EyeCare Smallville,Smallville
INV-000890,2025-05-15,3940.17,EyeCare Smallville,Smallville
INV-000891,2025-01-10,4035.28,Eye Care BigTown,Smallville
INV-000892,2025-01-04,3875.93,Eye Care BigTown,BigTown
INV-000893,2025-01-01,2768.43,EyeCare Smallville,Smallville
INV-000894,2025-05-10,1638.54,Eye Care BigTown,Smallville
INV-000895,2025-01-08,1870.29,EyeCare Smallville,BigTown
INV-000896,2025-02-22,2634.59,EyeCare Smallville,BigTown
INV-000897,2025-03-17,1569.79,EyeCare Smallville,Smallville
INV-000898,2025-06-24,2324.23,EyeCare Smallville,Smallville
INV-000899,2025-03-26,2999.83,Eye Care BigTown,Smallville
INV-000900,2025-02-20,4751.62,Eye Care BigTown,BigTown
INV-000901,2025-08-28,4134.63,EyeCare Smallville,Smallville
INV-000902,2025-03-06,1668.74,Eye Care BigTown,Smallville
INV-000903,2025-03-26,2403.89,EyeCare Smallville,BigTown
INV-000904,2025-03-06,3997.6,EyeCare Smallville,BigTown
INV-000905,2025-06-05,3422.45,EyeCare Smallville,BigTown
INV-000906,2025-05-31,767.28,EyeCare Smallville,BigTown
INV-000907,2025-02-02,591.6,EyeCare Smallville,BigTown
INV-000908,2025-02-28,4028.63,EyeCare Smallville,Smallville
INV-000909,2025-06-12,3012.13,Eye Care BigTown,BigTown
INV-000910,2025-02-27,3443.6,Eye Care BigTown,BigTown
INV-000911,2025-07-26,2314.12,EyeCare Smallville,BigTown
INV-000912,2025-01-11,1294.11,EyeCare Smallville,BigTown
INV-000913,2025-05-10,1921.53,Eye Care BigTown,Smallville
INV-000914,2025-03-20,3880.48,EyeCare Smallville,BigTown
INV-000915,2025-03-23,2634.84,Eye Care BigTown,BigTown
INV-000916,2025-03-17,907.66,Eye Care BigTown,Smallville
INV-000917,2025-03-29,3458.36,Eye Care BigTown,Smallville
INV-000918,2025-01-03,3474.67,EyeCare Smallville,BigTown
INV-000919,2025-03-01,2182.04,EyeCare Smallville,BigTown
INV-000920,2025-01-17,3607.93,Eye Care BigTown,BigTown
INV-000921,2025-01-15,2081.73,EyeCare Smallville,BigTown
INV-000922,2025-02-05,1737.51,EyeCare Smallville,Smallville
INV-000923,2025-01-05,2284.73,EyeCare Smallville,BigTown
INV-000924,2025-08-17,1921.52,Eye Care BigTown,Smallville
INV-000925,2025-03-10,1862.19,EyeCare Smallville,BigTown
INV-000926,2025-01-26,2715.55,EyeCare Smallville,Smallville
INV-000927,2025-03-25,4628.64,Eye Care BigTown,Smallville
INV-000928,2025-04-17,3515.33,Eye Care BigTown,BigTown
INV-000929,2025-04-06,3209.49,Eye Care BigTown,Smallville
INV-000930,2025-01-06,1429.21,EyeCare Smallville,BigTown
INV-000931,2025-08-06,1920.37,EyeCare Smallville,Smallville
INV-000932,2025-01-05,915.0,Eye Care BigTown,Smallville
INV-000933,2025-01-29,4350.73,EyeCare Smallville,BigTown
INV-000934,2025-01-25,2615.22,EyeCare Smallville,Smallville
INV-000935,2025-03-16,3589.31,Eye Care BigTown,BigTown
INV-000936,2025-05-01,4939.61,Eye Care BigTown,Smallville
INV-000937,2025-01-30,1784.46,Eye Care BigTown,BigTown
INV-000938,2025-04-17,2872.75,Eye Care BigTown,Smallville
INV-000939,2025-06-22,3559.48,EyeCare Smallville,BigTown
INV-000940,2025-02-24,3367.5,Eye Care BigTown,Smallville
INV-000941,2025-07-24,2840.54,EyeCare Smallville,Smallville
INV-000942,2025-06-20,2688.76,EyeCare Smallville,BigTown
INV-000943,2025-04-10,2754.52,EyeCare Smallville,Smallville
INV-000944,2025-08-07,3531.41,Eye Care BigTown,Smallville
INV-000945,2025-05-12,3379.35,Eye Care BigTown,BigTown
INV-000946,2025-05-08,3139.25,Eye Care BigTown,BigTown
INV-000947,2025-02-12,3768.63,EyeCare Smallville,BigTown
INV-000948,2025-03-20,1918.08,Eye Care BigTown,Smallville
INV-000949,2025-03-07,1610.44,Eye Care BigTown,BigTown
INV-000950,2025-07-06,2290.92,Eye Care BigTown,Smallville
INV-000951,2025-01-12,1514.18,Eye Care BigTown,BigTown
INV-000952,2025-01-04,4033.09,Eye Care BigTown,BigTown
INV-000953,2025-03-06,3641.0,EyeCare Smallville,Smallville
INV-000954,2025-08-21,1832.74,Eye Care BigTown,BigTown
INV-000955,2025-07-14,2499.6,EyeCare Smallville,BigTown
INV-000956,2025-07-01,3148.67,EyeCare Smallville,BigTown
INV-000957,2025-05-04,2763.32,EyeCare Smallville,Smallville
INV-000958,2025-01-26,3354.15,EyeCare Smallville,BigTown
INV-000959,2025-01-24,4032.3,EyeCare Smallville,BigTown
INV-000960,2025-01-04,620.07,Eye Care BigTown,Smallville
INV-000961,2025-02-26,3677.47,EyeCare Smallville,BigTown
INV-000962,2025-08-26,1873.77,EyeCare Smallville,BigTown
INV-000963,2025-07-25,4507.73,EyeCare Smallville,BigTown
INV-000964,2025-07-22,3557.67,Eye Care BigTown,BigTown
INV-000965,2025-01-11,4384.51,Eye Care BigTown,BigTown
INV-000966,2025-07-28,2365.35,Eye Care BigTown,BigTown
INV-000967,2025-04-25,1364.13,Eye Care BigTown,BigTown
INV-000968,2025-01-18,4312.35,Eye Care BigTown,BigTown
INV-000969,2025-03-12,1164.87,EyeCare Smallville,Smallville
INV-000970,2025-06-17,708.1,Eye Care BigTown,Smallville
INV-000971,2025-04-19,3644.72,EyeCare Smallville,Smallville
INV-000972,2025-04-14,1714.1,Eye Care BigTown,Smallville
INV-000973,2025-05-14,1199.59,EyeCare Smallville,Smallville
INV-000974,2025-03-16,4460.47,EyeCare Smallville,BigTown
INV-000975,2025-03-25,4376.41,Eye Care BigTown,Smallville
INV-000976,2025-01-29,929.2,Eye Care BigTown,Smallville
INV-000977,2025-08-20,2249.35,Eye Care BigTown,Smallville
INV-000978,2025-05-21,4708.25,Eye Care BigTown,BigTown
INV-000979,2025-04-05,2963.57,Eye Care BigTown,BigTown
INV-000980,2025-03-28,4605.52,Eye Care BigTown,BigTown
INV-000981,2025-01-24,2573.49,Eye Care BigTown,Smallville
INV-000982,2025-06-02,4474.48,Eye Care BigTown,BigTown
INV-000983,2025-04-06,3935.12,Eye Care BigTown,BigTown
INV-000984,2025-03-15,1350.28,EyeCare Smallville,Smallville
INV-000985,2025-01-24,2114.83,EyeCare Smallville,Smallville
INV-000986,2025-04-18,3257.59,EyeCare Smallville,BigTown
INV-000987,2025-04-30,3317.8,EyeCare Smallville,Smallville
INV-000988,2025-06-25,3607.66,EyeCare Smallville,BigTown
INV-000989,2025-06-02,2824.72,EyeCare Smallville,BigTown
INV-000990,2025-06-23,1993.33,EyeCare Smallville,BigTown
INV-000991,2025-02-05,720.26,EyeCare Smallville,Smallville
INV-000992,2025-01-08,3673.13,EyeCare Smallville,BigTown
INV-000993,2025-05-03,1323.49,Eye Care BigTown,BigTown
INV-000994,2025-04-29,3359.42,EyeCare Smallville,BigTown
INV-000995,2025-03-20,4115.45,EyeCare Smallville,BigTown
INV-000996,2025-02-12,4790.37,Eye Care BigTown,BigTown
INV-000997,2025-07-04,4599.91,EyeCare Smallville,BigTown
INV-000998,2025-04-29,3820.67,EyeCare Smallville,Smallville
INV-000999,2025-03-07,1349.39,Eye Care BigTown,Smallville
INV-001000,2025-08-22,3917.58,Eye Care BigTown,BigTown
INV-001001,2025-08-16,1502.47,EyeCare Smallville,Smallville
INV-001002,2025-07-04,4073.7,Eye Care BigTown,BigTown
INV-001003,2025-07-30,3099.05,EyeCare Smallville,Smallville
INV-001004,2025-06-27,3187.89,Eye Care BigTown,Smallville
INV-001005,2025-06-21,2777.81,EyeCare Smallville,Smallville
INV-001006,2025-05-19,3699.85,Eye Care BigTown,BigTown
INV-001007,2025-01-13,3529.14,EyeCare Smallville,BigTown
INV-001008,2025-04-03,2770.84,EyeCare Smallville,Smallville
INV-001009,2025-07-25,2449.0,Eye Care BigTown,BigTown
INV-001010,2025-01-03,818.86,EyeCare Smallville,Smallville
INV-001011,2025-08-08,3266.46,EyeCare Smallville,Smallville
INV-001012,2025-04-21,707.39,EyeCare Smallville,BigTown
INV-001013,2025-02-21,2794.76,EyeCare Smallville,BigTown
INV-001014,2025-08-12,3113.91,EyeCare Smallville,BigTown
INV-001015,2025-03-01,4188.83,EyeCare Smallville,Smallville
INV-001016,2025-01-02,3347.65,Eye Care BigTown,Smallville
INV-001017,2025-01-07,583.47,Eye Care BigTown,Smallville
INV-001018,2025-02-05,1779.13,Eye Care BigTown,BigTown
INV-001019,2025-02-09,2354.23,EyeCare Smallville,BigTown
INV-001020,2025-06-23,2693.21,EyeCare Smallville,Smallville
INV-001021,2025-07-03,1120.25,Eye Care BigTown,Smallville
INV-001022,2025-08-18,1192.31,Eye Care BigTown,BigTown
INV-001023,2025-04-01,3256.55,EyeCare Smallville,BigTown
INV-001024,2025-05-28,3631.21,Eye Care BigTown,Smallville
INV-001025,2025-08-05,3369.95,Eye Care BigTown,BigTown
INV-001026,2025-03-01,2377.64,Eye Care BigTown,BigTown
INV-001027,2025-04-04,3603.75,EyeCare Smallville,BigTown
INV-001028,2025-07-27,2733.59,Eye Care BigTown,BigTown
INV-001029,2025-05-02,3710.29,EyeCare Smallville,BigTown
INV-001030,2025-01-04,2253.68,Eye Care BigTown,BigTown
INV-001031,2025-01-04,3387.2,Eye Care BigTown,Smallville
INV-001032,2025-03-13,2174.02,EyeCare Smallville,Smallville
INV-001033,2025-02-19,1185.24,EyeCare Smallville,BigTown
INV-001034,2025-01-28,3931.11,Eye Care BigTown,BigTown
INV-001035,2025-04-04,4800.06,Eye Care BigTown,Smallville
INV-001036,2025-08-01,4399.84,EyeCare Smallville,BigTown
INV-001037,2025-01-29,4493.25,Eye Care BigTown,BigTown
INV-001038,2025-05-26,1392.54,Eye Care BigTown,BigTown
INV-001039,2025-08-07,4680.28,EyeCare Smallville,Smallville
INV-001040,2025-03-26,2858.42,Eye Care BigTown,BigTown
INV-001041,2025-01-23,2287.41,EyeCare Smallville,Smallville
INV-001042,2025-05-12,4649.39,Eye Care BigTown,BigTown
INV-001043,2025-06-14,2432.48,Eye Care BigTown,BigTown
INV-001044,2025-04-30,4948.82,EyeCare Smallville,Smallville
INV-001045,2025-06-22,2920.11,EyeCare Smallville,BigTown
INV-001046,2025-07-27,3268.34,Eye Care BigTown,Smallville
INV-001047,2025-07-24,4774.68,Eye Care BigTown,Smallville
INV-001048,2025-09-02,4602.95,EyeCare Smallville,BigTown
INV-001049,2025-04-05,2218.59,EyeCare Smallville,Smallville
INV-001050,2025-02-14,2339.11,EyeCare Smallville,BigTown
INV-001051,2025-04-23,3617.77,EyeCare Smallville,BigTown
INV-001052,2025-07-30,1153.07,Eye Care BigTown,Smallville
INV-001053,2025-04-02,1814.15,EyeCare Smallville,BigTown
INV-001054,2025-08-18,4076.84,Eye Care BigTown,Smallville
INV-001055,2025-06-08,2306.54,EyeCare Smallville,BigTown
INV-001056,2025-04-29,2989.55,EyeCare Smallville,BigTown
INV-001057,2025-05-29,524.27,Eye Care BigTown,BigTown
INV-001058,2025-04-26,2017.07,Eye Care BigTown,BigTown
INV-001059,2025-06-14,4390.13,Eye Care BigTown,Smallville
INV-001060,2025-01-03,2643.85,EyeCare Smallville,Smallville
INV-001061,2025-07-27,1949.02,Eye Care BigTown,BigTown
INV-001062,2025-01-23,1092.38,EyeCare Smallville,BigTown
INV-001063,2025-07-17,677.25,EyeCare Smallville,BigTown
INV-001064,2025-01-10,828.45,Eye Care BigTown,BigTown
INV-001065,2025-03-16,1802.32,EyeCare Smallville,BigTown
INV-001066,2025-05-18,4934.46,EyeCare Smallville,BigTown
INV-001067,2025-08-20,1488.86,EyeCare Smallville,Smallville
INV-001068,2025-03-14,999.76,Eye Care BigTown,BigTown
INV-001069,2025-06-15,4571.41,EyeCare Smallville,BigTown
INV-001070,2025-07-03,2742.85,EyeCare Smallville,Smallville
INV-001071,2025-06-07,4942.69,EyeCare Smallville,BigTown
INV-001072,2025-04-30,3866.35,Eye Care BigTown,BigTown
INV-001073,2025-04-09,3589.8,EyeCare Smallville,BigTown
INV-001074,2025-03-22,2354.51,EyeCare Smallville,BigTown
INV-001075,2025-03-14,3180.3,Eye Care BigTown,BigTown
INV-001076,2025-03-24,4569.88,Eye Care BigTown,Smallville
INV-001077,2025-08-19,4262.06,EyeCare Smallville,Smallville
INV-001078,2025-04-09,4688.1,Eye Care BigTown,Smallville
INV-001079,2025-07-20,1587.97,Eye Care BigTown,BigTown
INV-001080,2025-04-03,2738.34,Eye Care BigTown,BigTown
INV-001081,2025-02-03,1277.18,EyeCare Smallville,BigTown
INV-001082,2025-05-29,3424.81,EyeCare Smallville,Smallville
INV-001083,2025-08-14,762.46,Eye Care BigTown,Smallville
INV-001084,2025-03-15,2103.41,Eye Care BigTown,BigTown
INV-001085,2025-04-17,4524.51,EyeCare Smallville,BigTown
INV-001086,2025-02-18,4735.8,Eye Care BigTown,Smallville
INV-001087,2025-03-28,2157.4,EyeCare Smallville,Smallville
INV-001088,2025-01-06,1288.02,EyeCare Smallville,BigTown
INV-001089,2025-02-20,2111.08,Eye Care BigTown,BigTown
INV-001090,2025-05-06,2924.26,EyeCare Smallville,Smallville
INV-001091,2025-04-06,2786.0,EyeCare Smallville,Smallville
INV-001092,2025-07-19,2530.85,Eye Care BigTown,Smallville
INV-001093,2025-02-15,2782.11,Eye Care BigTown,Smallville
INV-001094,2025-01-01,999.71,Eye Care BigTown,Smallville
INV-001095,2025-02-27,3595.75,EyeCare Smallville,BigTown
INV-001096,2025-08-31,564.46,Eye Care BigTown,BigTown
INV-001097,2025-05-16,1859.42,Eye Care BigTown,Smallville
INV-001098,2025-04-01,537.4,Eye Care BigTown,BigTown
INV-001099,2025-05-07,3502.72,Eye Care BigTown,BigTown
INV-001100,2025-04-08,2245.36,Eye Care BigTown,BigTown
INV-001101,2025-01-19,744.32,EyeCare Smallville,Smallville
INV-001102,2025-01-30,1040.58,Eye Care BigTown,BigTown
INV-001103,2025-04-20,4129.16,Eye Care BigTown,BigTown
INV-001104,2025-02-28,2501.44,Eye Care BigTown,BigTown
INV-001105,2025-08-23,2520.44,EyeCare Smallville,Smallville
INV-001106,2025-02-12,3408.53,Eye Care BigTown,BigTown
INV-001107,2025-07-18,3603.48,EyeCare Smallville,Smallville
INV-001108,2025-06-28,1507.44,Eye Care BigTown,Smallville
INV-001109,2025-01-16,3839.36,EyeCare Smallville,Smallville
INV-001110,2025-01-09,4657.24,Eye Care BigTown,Smallville
INV-001111,2025-02-26,3310.99,EyeCare Smallville,BigTown
INV-001112,2025-06-11,3664.38,EyeCare Smallville,BigTown
INV-001113,2025-03-03,1328.56,Eye Care BigTown,Smallville
INV-001114,2025-05-23,4192.82,EyeCare Smallville,BigTown
INV-001115,2025-04-04,986.62,Eye Care BigTown,BigTown
INV-001116,2025-06-01,4326.22,Eye Care BigTown,Smallville
INV-001117,2025-02-15,589.33,EyeCare Smallville,BigTown
INV-001118,2025-08-08,3170.41,EyeCare Smallville,Smallville
INV-001119,2025-04-14,1837.29,EyeCare Smallville,Smallville
INV-001120,2025-03-12,4376.87,EyeCare Smallville,Smallville
INV-001121,2025-07-20,914.96,EyeCare Smallville,Smallville
INV-001122,2025-03-07,4460.21,EyeCare Smallville,BigTown
INV-001123,2025-02-05,3420.61,Eye Care BigTown,Smallville
INV-001124,2025-03-15,2620.18,EyeCare Smallville,Smallville
INV-001125,2025-02-11,2389.92,EyeCare Smallville,BigTown
INV-001126,2025-03-25,3381.39,EyeCare Smallville,BigTown
INV-001127,2025-01-25,912.66,EyeCare Smallville,BigTown
INV-001128,2025-03-04,2457.38,Eye Care BigTown,Smallville
INV-001129,2025-01-08,1996.64,Eye Care BigTown,BigTown
INV-001130,2025-06-22,4946.23,EyeCare Smallville,Smallville
INV-001131,2025-03-17,1808.14,Eye Care BigTown,Smallville
INV-001132,2025-03-10,2819.51,Eye Care BigTown,Smallville
INV-001133,2025-06-19,3629.38,EyeCare Smallville,BigTown
INV-001134,2025-03-05,2320.67,Eye Care BigTown,BigTown
INV-001135,2025-01-03,2065.35,Eye Care BigTown,BigTown
INV-001136,2025-03-04,1295.03,Eye Care BigTown,BigTown
INV-001137,2025-03-29,4305.77,EyeCare Smallville,BigTown
INV-001138,2025-07-23,3962.3,Eye Care BigTown,Smallville
INV-001139,2025-04-11,2839.4,Eye Care BigTown,BigTown
INV-001140,2025-01-10,2845.52,EyeCare Smallville,BigTown
INV-001141,2025-08-13,1478.29,EyeCare Smallville,Smallville
INV-001142,2025-05-28,4203.44,EyeCare Smallville,BigTown
INV-001143,2025-07-04,3543.17,EyeCare Smallville,BigTown
INV-001144,2025-07-31,4948.56,EyeCare Smallville,BigTown
INV-001145,2025-03-29,4023.24,Eye Care BigTown,BigTown
INV-001146,2025-07-13,4958.8,Eye Care BigTown,BigTown
INV-001147,2025-08-25,3823.59,Eye Care BigTown,BigTown
INV-001148,2025-03-20,3277.53,EyeCare Smallville,BigTown
INV-001149,2025-01-14,3366.01,EyeCare Smallville,Smallville
INV-001150,2025-07-06,659.09,Eye Care BigTown,BigTown
INV-001151,2025-06-22,2185.36,EyeCare Smallville,BigTown
INV-001152,2025-09-02,4965.97,Eye Care BigTown,Smallville
INV-001153,2025-08-25,1781.96,EyeCare Smallville,BigTown
INV-001154,2025-02-14,2003.8,Eye Care BigTown,Smallville
INV-001155,2025-06-23,4169.52,EyeCare Smallville,BigTown
INV-001156,2025-08-14,2688.88,EyeCare Smallville,Smallville
INV-001157,2025-03-22,3154.31,EyeCare Smallville,Smallville
INV-001158,2025-04-04,4577.17,EyeCare Smallville,Smallville
INV-001159,2025-01-10,3987.92,Eye Care BigTown,Smallville
INV-001160,2025-02-04,4720.81,EyeCare Smallville,BigTown
INV-001161,2025-02-21,3702.19,Eye Care BigTown,Smallville
INV-001162,2025-07-29,4191.92,Eye Care BigTown,BigTown
INV-001163,2025-01-05,2562.27,Eye Care BigTown,Smallville
INV-001164,2025-03-19,3848.16,Eye Care BigTown,Smallville
INV-001165,2025-01-05,3252.35,EyeCare Smallville,BigTown
INV-001166,2025-07-16,2041.28,EyeCare Smallville,Smallville
INV-001167,2025-07-16,4457.43,Eye Care BigTown,Smallville
INV-001168,2025-04-10,2427.41,Eye Care BigTown,BigTown
INV-001169,2025-07-12,3918.29,EyeCare Smallville,Smallville
INV-001170,2025-03-22,4191.49,Eye Care BigTown,BigTown
INV-001171,2025-03-07,4780.71,EyeCare Smallville,Smallville
INV-001172,2025-06-27,980.05,Eye Care BigTown,BigTown
INV-001173,2025-02-22,3008.0,Eye Care BigTown,BigTown
INV-001174,2025-07-24,4443.63,EyeCare Smallville,Smallville
INV-001175,2025-07-25,963.62,EyeCare Smallville,Smallville
INV-001176,2025-07-23,3564.89,EyeCare Smallville,Smallville
INV-001177,2025-08-25,4050.4,Eye Care BigTown,BigTown
INV-001178,2025-06-06,3475.44,EyeCare Smallville,BigTown
INV-001179,2025-02-02,2419.4,EyeCare Smallville,BigTown
INV-001180,2025-06-07,2614.67,EyeCare Smallville,Smallville
INV-001181,2025-04-11,4139.01,EyeCare Smallville,BigTown
INV-001182,2025-04-13,3481.31,Eye Care BigTown,Smallville
INV-001183,2025-03-12,2810.79,Eye Care BigTown,BigTown
INV-001184,2025-07-17,2709.31,EyeCare Smallville,Smallville
INV-001185,2025-02-02,4015.01,Eye Care BigTown,BigTown
INV-001186,2025-02-09,1620.08,Eye Care BigTown,Smallville
INV-001187,2025-07-27,3700.45,EyeCare Smallville,BigTown
INV-001188,2025-01-25,4818.83,EyeCare Smallville,BigTown
INV-001189,2025-01-28,3490.98,Eye Care BigTown,BigTown
INV-001190,2025-07-03,740.85,Eye Care BigTown,BigTown
INV-001191,2025-07-20,1811.17,EyeCare Smallville,BigTown
INV-001192,2025-04-25,1718.56,Eye Care BigTown,Smallville
INV-001193,2025-01-04,2614.43,EyeCare Smallville,Smallville
INV-001194,2025-03-17,4192.28,EyeCare Smallville,BigTown
INV-001195,2025-02-17,1549.44,EyeCare Smallville,BigTown
INV-001196,2025-04-28,1503.59,EyeCare Smallville,Smallville
INV-001197,2025-01-20,1641.28,EyeCare Smallville,BigTown
INV-001198,2025-07-09,1694.58,EyeCare Smallville,BigTown
INV-001199,2025-02-08,1979.16,EyeCare Smallville,BigTown
INV-001200,2025-08-01,4650.99,EyeCare Smallville,Smallville
